id,Period Number,Name,Symbol,Atomic Number,Atomic Weight,Melting Point,Boiling Point,Density,Phase at Room Temperature,Atom Classification,Group,Uses,Group,Period
1,1,Hydrogen,H,1,1.00794,-434.81,-423.17,8.988e-05,Gas,Non-metal,No definitive group,"Sun and Stars, Water",1,1
2,1,Helium,He,2,4.002602,-458,-452.07,0.0001785,Gas,Non-metal,Noble Gas,"Ballons, Lasers, Refrigerants",7,1
3,2,Lithium,Li,3,6.941,356.9,2448,0.534,Solid,Metal,Alkali Metals,"Batteries, Ceramic Cookware",1,2
4,2,Beryllium,Be,4,9.1021831,2349,4480,1.85,Solid,Metal,Alkali Earth Metals,"Emeralds, Copper Alloy Tools",2,2
5,2,Boron,B,5,10.811,3767,7232,2.37,Solid,Semi-metal,Metalloids,"Sports Equipment, Fertilizer, Soap",13,2
6,2,Carbon,C,6,12.0107,6422,6917,2.267,Solid,Non-metal,Non-metal,"Building Block of Life, Wood, Paper, Oil, Plastic",14,2
7,2,Nitrogen,N,7,14.00674,-346,-320.44,0.0012506,Gas,Non-metal,Non-metal,"Muscles, DNA, Fertilizer, Refrigerants",15,2
8,2,Oxygen,O,8,15.9994,-361.82,-297.31,0.001429,Gas,Non-metal,Non-metal,"Air, Earth's Crust, Minerals",16,2
9,2,Fluorine,F,9,18.9984032,-363.32,-306.62,0.001696,Gas,Non-metal,Halogens,"Toothpaste, Refrigerants, Nonstick Cookware",17,2
10,2,Neon,Ne,10,20.1797,-415.46,-410.94,0.0008999,Gas,Non-metal,Noble Gas,Advertising Signs,18,2
11,3,Sodium,Na,11,22.9897693,208.04,1621,0.97,Solid,Metal,Alkali Metals,"Salt, Soap, Glass, Street Lamps",1,3
12,3,Magnesium,Mg,12,24.305,1202,1994,1.74,Solid,Metal,Alkali Earth Metals,"Chlorophyll, Aluminum Alloys, Cars, Planes, Bikes",2,3
13,3,Aluminum,Al,13,26.9815385,1220.581,4566,2.7,Solid,Metal,Poor Metals,"Airplanes, Cars, Bikes, Granite, Clay, Ceramics, Kitchenware",13,3
14,3,Silicon,Si,14,28.0855,2577,5909,2.3296,Solid,Semi-metal,Metalloids,"Stone, Sand, Soil, Ceramics, Glass, Computer Chips",14,3
15,3,Phosphorus,P,15,30.973762,111.47,536.9,1.82,Solid,Non-metal,Non-metal,"Bones, DNA, Fertilizer, Acids, Detergent, Matches",15,3
16,3,Sulfur,S,16,32.066,239.38,832.28,2.067,Solid,Non-metal,Non-metal,"Eggs, Onions, Garlic, Volcans, Acids",16,3
17,3,Chlorine,Cl,17,35.4527,-150.7,-29.27,0.003214,Gas,Non-metal,Halogens,"Swimming Pools, Salt, Acid, Disinfectant",17,3
18,3,Argon,Ar,18,39.948,-308.83,-302.53,0.0017837,Gas,Non-metal,Noble Gas,"Light Bulbs, Lasers",18,3
19,4,Potassium,K,19,39.0983,146.08,1398,0.89,Solid,Metal,Alkali Metals,"Fruits, Vegetables, Salt, Fertilizer, Soap, Matches, Gunpowder",1,4
20,4,Calcium,Ca,20,40.078,1548,2703,1.54,Solid,Metal,Alkali Earth Metals,"Shells, Bones, Milk, Cement",2,4
21,4,Scandium,Sc,21,44.955908,2806,5137,2.99,Solid,Metal,Transition Metals,"Aluminum Alloys, Racing Bikes",3,4
22,4,Titanium,Ti,22,47.867,3034,5949,4.5,Solid,Metal,Transition Metals,"Racing Bikes, Artifical Joints",4,4
23,4,Vanadium,V,23,50.9415,3470,6165,6,Solid,Metal,Transition Metals,"Springs, Steel",5,4
24,4,Chromium,Cr,24,51.9961,3465,4840,7.15,Solid,Metal,Transition Metals,"Stainless Steel, Kitchenware, Paints",6,4
25,4,Manganese,Mn,25,54.938044,2275,3742,7.3,Solid,Metal,Transition Metals,"Construction Vehicles, Fertilizer, Batteries, Axes",7,4
26,4,Iron,Fe,26,55.845,2800,5182,7.874,Solid,Metal,Transition Metals,"Steel Alloys, Magnets, Earth's Core, Blood",8,4
27,4,Cobalt,Co,27,58.933194,2723,5301,8.86,Solid,Metal,Transition Metals,"Magnets, Turbines",9,4
28,4,Nickel,Ni,28,58.6934,2651,5275,8.912,Solid,Metal,Transition Metals,"Coins, Stainless Steel, Kitchenware, Earth's Core",10,4
29,4,Copper,Cu,29,63.546,1984.32,4644,8.933,Solid,Metal,Transition Metals,"Electric Wires, Kitchenware, Brass, Bronze, Coins, Pipes",11,4
30,4,Zinc,Zn,30,65.38,787.15,1655,7.134,Solid,Metal,Transition Metals,"Brass Instruments",12,4
31,4,Gallium,Ga,31,69.723,85.57,3999,5.91,Solid,Metal,Poor Metals,"LEDs, Tiny Lasers",13,4
32,4,Germanium,Ge,32,72.63,1720.85,5131,5.323,Solid,Semi-metal,Poor Metals,"Semiconductor Electronics, Infrared Windows",14,4
33,4,Arsenic,As,33,74.921595,1503,1137,5.776,Solid,Semi-metal,Metalloids,"Poison, Semiconductor Electronics, Tiny Lasers",15,4
34,4,Selenium,Se,34,78.971,428.9,1265,4.809,Solid,Non-metal,Non-metal,"Copier Machines, Rubber",16,4
35,4,Bromine,Br,35,79.904,19,137.8,3.11,Liquid,Non-metal,Halogens,"Photography Film, Disinfectant, Swimming Pools",17,4
36,4,Krypton,Kr,36,83.798,-251.25,-243.8,0.003733,Gas,Non-metal,Noble Gas,"Flashlights, Laser",18,4
